year,month,day,URL,cheese,yoghurt,butter
2022,1,3,https://web.archive.org/web/20220103102534/https://glomark.lk/,660,260,480
2022,2,5,https://web.archive.org/web/20220205094523/https://glomark.lk/,660,290,480
2022,3,5,https://web.archive.org/web/20220305015252/https://glomark.lk/,680,290,480
2022,3,11,https://web.archive.org/web/20220311040905/https://glomark.lk/,680,290,480
2022,3,27,https://web.archive.org/web/20220327122307/https://glomark.lk/,884,290,480
2022,4,19,https://web.archive.org/web/20220419141406/https://glomark.lk/,884,350,480
2022,4,23,https://web.archive.org/web/20220423132517/https://glomark.lk/,884,350,480
2022,5,18,https://web.archive.org/web/20220518181139/https://glomark.lk/,1105,350,480
2022,5,20,https://web.archive.org/web/20220520131236/https://glomark.lk/,1105,350,480
2022,6,4,https://web.archive.org/web/20220604191805/https://glomark.lk/,1105,410,480
2022,7,20,https://web.archive.org/web/20220720003940/https://glomark.lk/,1390,410,480
2022,8,9,https://web.archive.org/web/20220809125618/https://glomark.lk/,1390,410,480
2022,12,16,https://web.archive.org/web/20221217020141/https://glomark.lk/happy-cow-cheese-wedges-200g/p/7675,1342,,
2022,12,16,https://web.archive.org/web/20221217020530/https://glomark.lk/ambewela-set-yoghurt-family-pack-6x80g/p/9645,,460,
2022,12,16,https://web.archive.org/web/20221217020841/https://glomark.lk/highland-unsalted-butter-200g/p/7692,,,480
